text,label,Translations
"Listen, Rue. You a drug addict. I don't take nothin' a drug addict says personally. Cause I don't believe nothin' a drug addict say.",1,"Listen, Rue. You a drug addict. I don't take nothin' a drug addict says personally. Cause I don't believe nothin' a drug addict say."
"Any guy who says he's interested in you beyond just fucking you, is full of shit.",1,"Any guy who says he's interested in you beyond just fucking you, is full of shit."
"I don't know about everyone else, but I miss the old Kat. You know, the one who had a sense of humor and wasn't a fuckin' cunt?",1,"I don't know about everyone else, but I miss the old Kat. You know, the one who had a sense of humor and wasn't a fuckin' cunt?"
"You know what, Rick? Why don't you go fuck yourself?",1,"You know what, Rick? Why don't you go fuck yourself?"
"Yo, Fez. So you know how in every '90s thriller, right, Morgan Freeman plays, like, the same semi-psychic black cop.",1,"Yo, Fez. So you know how in every '90s thriller, right, Morgan Freeman plays, like, the same semi-psychic black cop."
What she means to say is that she's a slut.,1,What she means to say is that she's a slut.
"You're, like, half a retard.",1,"You're, like, half a retard."
"All I'm sayin', you keep fuckin' with Rue and her friends, and I'mma kill you.",1,"All I'm sayin', you keep fuckin' with Rue and her friends, and I'mma kill you."
"You literally had, like, 40 different guys' dicks in your phone.",1,"You literally had, like, 40 different guys' dicks in your phone."
"I'm not into fucking guys, Maddy.",1,"I'm not into fucking guys, Maddy."
Your whole family is so fucking weird.,1,Your whole family is so fucking weird.
I fucked with your gender expression.,1,I fucked with your gender expression.
"Okay, Mom, I'm literally going to poison you in your sleep.",0,"Okay, Mom, I'm literally going to poison you in your sleep."
Are you a slut?,0,Are you a slut?
"But no one in this world, will ever root for you.",0,"But no one in this world, will ever root for you."
"All right, let's fucking go",0,"All right, let's fucking go"
Didn't you just get out of rehab?,0,Didn't you just get out of rehab?
"Wait, you're alive?",0,"Wait, you're alive?"
What difference are you going to make?,0,What difference are you going to make?
Give me a fucking break.,0,Give me a fucking break.
Breathing is clearly not a priority to you,0,Breathing is clearly not a priority to you
I don't want to be around you if you don't stop using drugs,0,I don't want to be around you if you don't stop using drugs
"I mean, you've been acting weird, like, all week.",0,"I mean, you've been acting weird, like, all week."
"Well, Jesus fucking Christ, you've got to be one of the most beautiful creatures I've ever seen.",0,"Well, Jesus fucking Christ, you've got to be one of the most beautiful creatures I've ever seen."
"Do you think people are, like, 100 percent straight?",0,"Do you think people are, like, 100 percent straight?"
"I'm not gonna help you kill yourself, Rue.",0,"I'm not gonna help you kill yourself, Rue."
I don't understand why we have to drive seven hours to see a psychiatrist,0,I don't understand why we have to drive seven hours to see a psychiatrist
"Rue, you know that drug addicts don't reach out for help unless there's no options.",0,"Rue, you know that drug addicts don't reach out for help unless there's no options."
Where are you? I'm standing by the fucking Ferris wheel.,0,Where are you? I'm standing by the fucking Ferris wheel.
Hands and feet inside the ride unless you want to die.,0,Hands and feet inside the ride unless you want to die.
"You take that attitude, you'll spend the rest of your life on the bench.",0,"You take that attitude, you'll spend the rest of your life on the bench."
"Oh, yeah. I knew that by the way she was hittin' the weed.",0,"Oh, yeah. I knew that by the way she was hittin' the weed."
I've never met anyone in my entire life like Jules.,0,I've never met anyone in my entire life like Jules.
You look different.,0,You look different.
"God, are you broken inside.",0,"God, are you broken inside."
You're fucking dead to me.,0,You're fucking dead to me.
You're delicate.,0,You're delicate.
"I didn't mean for real, bitch.",0,"I didn't mean for real, bitch."
I am not gonna let the son of a bitch attack my daughter and get away with it.,0,I am not gonna let the son of a bitch attack my daughter and get away with it.
"So, like, do you have a lot of one-night stands?",0,"So, like, do you have a lot of one-night stands?"
Wait. How many people have you slept with?,0,Wait. How many people have you slept with?
Open the door! You fucking ruined my life.,0,Open the door! You fucking ruined my life.
Get your fucking finger out of my face.,0,Get your fucking finger out of my face.
"Well, in rehab, there are some real fucked-up motherfuckers.",0,"Well, in rehab, there are some real fucked-up motherfuckers."
"Oh. Holy shit, you're a fucking virgin, aren't you?",0,"Oh. Holy shit, you're a fucking virgin, aren't you?"
Who the fuck do you think you are?,0,Who the fuck do you think you are?
"Fuck, are you dumb.",0,"Fuck, are you dumb."
"Like, listen to yourself. It's fucking exhausting.",0,"Like, listen to yourself. It's fucking exhausting."
"Gia, right now I just need you to leave me the fuck alone, all right?",0,"Gia, right now I just need you to leave me the fuck alone, all right?"
It's probably why so many drug addicts die on toilets.,0,It's probably why so many drug addicts die on toilets.
