Text,label,Translations
"Yes, here it comes! I’m stuck here all day, and then you come in and spend two seconds with us and then expect to go off gallivanting with your friends? Well I don’t think so mister!",0,"Yes, here it comes! I’m stuck here all day, and then you come in and spend two seconds with us and then expect to go off gallivanting with your friends? Well I don’t think so mister!"
"I'd love to, but I gotta get back to talking to your parents. They're telling us all about how they adopted you.",0,"I'd love to, but I gotta get back to talking to your parents. They're telling us all about how they adopted you."
"All right, it'll be great! You just make her think you wanna have sex with her! It'll totally freak her out!",0,"All right, it'll be great! You just make her think you wanna have sex with her! It'll totally freak her out!"
"Well, I added the 'exactly like me' part... But she said she's looking for someone, and someone is gonna be there tonight.",0,"Well, I added the 'exactly like me' part... But she said she's looking for someone, and someone is gonna be there tonight."
Wow! I have never had such a healthy break-up! She was such a grown-up about it! She didn’t seem too immature for me! Did I just make a huge mistake?,0,Wow! I have never had such a healthy break-up! She was such a grown-up about it! She didn’t seem too immature for me! Did I just make a huge mistake?
"Ah yes, but he’s very protective of me so you’d better watch yourself.",0,"Ah yes, but he’s very protective of me so you’d better watch yourself."
"Well let there—what if a man comes along and puts a gun to your head and says, ""You ride this bike or I’ll sh…I’ll shoot you.""",0,"Well let there—what if a man comes along and puts a gun to your head and says, ""You ride this bike or I’ll sh…I’ll shoot you."""
"Um, yeah. Look, I mean, I’m not saying she’s like evil or anything. She just, you know, she’s always breaking my stuff. When I was eight, and I wouldn’t let her have my Judy Jetson thermos, so she threw it under the bus. And then, oh, and then there was Randy Brown, who was like... Have you ever had a boyfriend who was like your best friend?",0,"Um, yeah. Look, I mean, I’m not saying she’s like evil or anything. She just, you know, she’s always breaking my stuff. When I was eight, and I wouldn’t let her have my Judy Jetson thermos, so she threw it under the bus. And then, oh, and then there was Randy Brown, who was like... Have you ever had a boyfriend who was like your best friend?"
"Sure, Monica would have to give her up.",0,"Sure, Monica would have to give her up."
"Oh! Right. Umm, maybe that’s because I didn’t send him an invitation.",0,"Oh! Right. Umm, maybe that’s because I didn’t send him an invitation."
"So, you heard it, you repeated it, so that must mean you wrote it.",0,"So, you heard it, you repeated it, so that must mean you wrote it."
"I’m Catwoman, who wants to borrow the dress when you’re too big for it.",0,"I’m Catwoman, who wants to borrow the dress when you’re too big for it."
"Yeah, yeah, it’ll be great! You can, you can lay on the beach and I can cry over my failed marriage. See-see how I make jokes?",0,"Yeah, yeah, it’ll be great! You can, you can lay on the beach and I can cry over my failed marriage. See-see how I make jokes?"
"Ooh! No, no, no, no, he's not like a kook, no. He's just like this, this very passionate, incredibly romantic guy, that got like a tinsy bit carried away, you know. And we just get along really well, and he's so cute.",0,"Ooh! No, no, no, no, he's not like a kook, no. He's just like this, this very passionate, incredibly romantic guy, that got like a tinsy bit carried away, you know. And we just get along really well, and he's so cute."
"I know it sounds crazy, but Chandler this is  the greatest sandwich in the world!",0,"I know it sounds crazy, but Chandler this is  the greatest sandwich in the world!"
"Is that a hint? Because we love you Doctor Connelly but we don't think we'd want you to be our child!  Wow, talking about an inhospitable environment!",0,"Is that a hint? Because we love you Doctor Connelly but we don't think we'd want you to be our child!  Wow, talking about an inhospitable environment!"
"Y'know what, I can stay, I’m gonna stay. ‘Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around.",0,"Y'know what, I can stay, I’m gonna stay. ‘Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around."
yeah well  yeah you know Emma's birth certificate might say Geller but her eyes say Mookurgee.,0,yeah well  yeah you know Emma's birth certificate might say Geller but her eyes say Mookurgee.
"I’m just saying, if we put just a little bit of makeup on you.",0,"I’m just saying, if we put just a little bit of makeup on you."
" So ah, your first sexual experience was with a woman?!",0," So ah, your first sexual experience was with a woman?!"
"All right, look, I hate this as much as you, but if it makes you feel better, it’s all your fault.",0,"All right, look, I hate this as much as you, but if it makes you feel better, it’s all your fault."
"I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!",0,"I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!"
"All right look, let me show you the catalog!  See? Huh? It's the latest thing! Everyone's got one! Men! Women! Children! Everyone's carrying them!",0,"All right look, let me show you the catalog!  See? Huh? It's the latest thing! Everyone's got one! Men! Women! Children! Everyone's carrying them!"
"Oh my God, your mother!",0,"Oh my God, your mother!"
