Text,label,Translations,Language
My wife turned into a lesbian.,1,मेरी पत्नी ने एक लेस्बियन बन गई है।,Hindi
"Well, he’s not used to women being so forward with him; but uh, I good check with him—He says it’s okay.  Great! Thanks! Bye-bye!",1,"वेल, उन्हें महिलाओं के इतने सामने आने से अभी तक अभ्यस्त नहीं हो गया है; लेकिन, मैं उससे जांच कर सकता हूँ - उन्होंने कहा है कि ठीक है। बढ़िया! धन्यवाद! अलविदा!",Hindi
"Woha! Wait... What are we doing? What we have is too important to mess it up over some girl. I mean, we can get laid anytime we want.",1,"वाह! थोड़ा रुको... हम क्या कर रहे हैं? हमारे पास बहुत महत्वपूर्ण कुछ है, हम इसे किसी लड़की के कारण सड़के नहीं दे सकते। मेरा मतलब है, हमें किसी भी समय चाहे चाहिए तो हम इंतिम संबंध बना सकते हैं।",Hindi
Some girl ate Monica!,1,कोई मोटी लड़की ने मोनिका को खा लिया! ,Hindi
Ridiculously Dull Bobby,1,बहुत ही उबाऊ बॉबी।,Hindi
"What are you talking about, one woman?! That’s like saying there is only one flavor of ice cream for you. ... Welcome back to the world, grab a spoon!",1,"तुम क्या बात कर रहे हो, एक ही महिला?! वह जैसा है मानना वैसा है जैसे तुम्हारे लिए केवल एक आइसक्रीम का फ्लेवर हो। ... दुनिया में वापसी पर स्वागत है, एक चम्मच पकड़ो! ",Hindi
How goes the dancing? Gay yet?,1,नाच कैसा चल रहा है? अब तक गे हो गया है?,Hindi
Don’t you have a little too much penis to wear a dress like that?,1,इस तरह की ड्रेस पहनने के लिए क्या तुम्हारे पास थोड़ा बहुत लिंग नहीं है? ,Hindi
"So you’re just, like, a guy who’s a nanny?",1,"तो तुम बस ऐसे ही, एक आदमी हो जो नैनी है? ",Hindi
"Hey check me out, I’m a slut!",1,"अरे, मुझे देखो, मैं एक वेश्या हूँ! ",Hindi
"Oh my god, where are all the men!?",1,"हे भगवान, सभी पुरुष कहाँ हैं!?",Hindi
"Dumb, old perfect-for-the-job Hilda.",1,"बेवकूफ, बूढ़ी, नौकरी के लिए पूर्णतः उपयुक्त हिल्डा।",Hindi
Everybody says you have both male and female reproductive parts.,1,हर कोई कहता है कि आपके पास पुरुष और महिला दोनों प्रजनन अंग हैं।,Hindi
"Nevermind, my girlfriend’s a lesbian.",1,"कोई बात नहीं, मेरी गर्लफ्रेंड लेस्बियन है।",Hindi
Yuck! Are you gay?,1,छी! क्या आप समलैंगिक हैं?,Hindi
"Hey, Joey. Are men ever nice to strange women for no reason?",1,"हे, जोए। क्या पुरुष कभी किसी अजनबी महिला के प्रति बिना किसी कारण के अच्छे व्यवहार करते हैं?",Hindi
"Wanted:Female Roommate. Non-smoker, non-ugly.",1,"चाहिए: महिला रूममेट. धूम्रपान नहीं, बिना बदसूरती वाली।",Hindi
You kissed a guy! Oh my god. Be a man!,1,तुमने एक आदमी को चुम्मा दिया! हे भगवान। एक आदमी बनो!,Hindi
Whatever dude. You kissed a guy! You don't exist to me.,1,"जैसा चाहो, यार। तुमने एक आदमी को चुम्मा दिया! मेरे लिए तुम मौजूद नहीं हो।",Hindi
Old bastard!,1,बूढ़ा कमीना!,Hindi
You have no standards. You are a person who goes after a guy five minutes after he’s divorced.,1,तुम्हारे कोई मानक नहीं हैं। तुम वह व्यक्ति हो जो पचास मिनट के भीतर तलाक होने के बाद एक आदमी के पीछे जाता है।,Hindi
"I needed a plan, a plan to get over my man. And what’s opposite of man? Jam.",1,"मुझे एक योजना चाहिए थी, अपने पुरुष से पार करने के लिए। और पुरुष का विपरीत क्या होता है? जाम।",Hindi
I know of two surefire ways to shut a man up. And one of them is sex.,1,मुझे दो पक्के तरीके पता हैं जिनसे आदमी को चुप करा सकते हैं। और उनमें से एक है सेक्स। पुरुष मूर्ख होते हैं।,Hindi
Chandler you are gross. Who watches shark porn!,1,"चैंडलर, तुम घिनौने हो। कौन शार्क पॉर्न देखता है!",Hindi
Welcome to the real world pussies! It sucks. ,1,असली दुनिया में आपका स्वागत है! यह बहुत बेकार है।,Hindi
You are a Womanizer. You won't even be able to name one woman that you broke up with for a real reason,1,"मैं एक औरतों के दीवाने नहीं हूँ। मैं किसी एक औरत का नाम भी उठा नहीं सकता, जिससे मैंने सच्चा कारण बताकर ब्रेकअप किया हो।",Hindi
Shame on you! Ugly baby judges you!,1,आप पर लज्जा होनी चाहिए! बदसूरत बच्चा आपका निर्णय करता है! ,Hindi
"Well, you all know that I am a pacifist which means I am not interested in war — in any way. But when the revolution comes, I will have to destroy you all;",1,"जैसा कि आप सभी जानते हैं, मैं एक शांतिवादी हूँ जिसका अर्थ है कि मुझे युद्ध की कोई इच्छा नहीं है - किसी भी तरीके से नहीं। लेकिन जब क्रांति आएगी, तो मुझे आप सभी को नष्ट करना होगा।",Hindi
"Oh, come on, Will. Just take off your shirt and tell us.",1,"अरे, विल, आप बस अपनी शर्ट उतार दीजिए और हमें बताइए।",Hindi
You are a pervert.,1,तुम गुमराह आदमी हो।,Hindi
"Oh, are you setting Ross up with someone? Does she have a wedding dress?",1,"ओह, क्या आप रॉस को किसी के साथ सेट अप कर रहे हैं? क्या उसके पास शादी की पोशाक है?",Hindi
Can you see my nipples through this shirt?,1,क्या आप इस शर्ट के माध्यम से मेरे निप्पल देख सकते हैं?,Hindi
There’s an unattractive nude man playing the cello.,1,वहाँ एक अनाकर्षक नग्न व्यक्ति सेलो बजा रहा है।,Hindi
"OK. So I’m out $4,000 and nobody’s boobs are getting any bigger?",1,"ठीक है। तो मैं $ 4,000 से बाहर हूं और किसी के स्तन बड़े नहीं हो रहे हैं?",Hindi
Look at me! I’m Chandler! Could I be wearing any more clothes?!,1,मेरी तरफ देखो! मैं चांडलर हूँ! क्या मैं और कपड़े पहन सकता हूँ ?!,Hindi
"Ah, ‘Hotties of the Paleontology Department.’ There’s a big-selling calendar, eh?",1,"अह, 'पेलियोंटोलॉजी विभाग के आकर्षक लोग।' वहाँ एक बड़ी बिक्री वाला कैलेंडर है, है ना?",Hindi
I read about all these women trying to have it all and I thank God our little Harmonica doesn’t seem to have that problem.,1,मैंने इसके बारे में पढ़ा है कि कई महिलाएं सबकुछ प्राप्त करने की कोशिश कर रही हैं और मुझे धन्यवाद है कि हमारी छोटी हार्मोनिका को ऐसी समस्या नहीं दिखाई देती।,Hindi
Okay there's enthusiastic and there's plain gay,1,ठीक है वहाँ उत्साही है और वहाँ सादा समलैंगिक है,Hindi
Oh my god! You are a 30 year old fat virgin.,1,अरे बाप रे! आप 30 साल की मोटी कुंवारी हैं।,Hindi
"Joey, you are turning into a woman slowly.",1,"जॉय, तुम धीरे-धीरे एक महिला में बदल रही हो।",Hindi
"That's funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman.",1,"यह मजाक है, क्योंकि मुझे लग रहा था कि आप जोए ट्रिबियानी की तरह दिख रहे हैं, पुरुष / महिला।",Hindi
"Ew, ew, ew, ew ew ew ew ew. Ugly Naked Guy got a Thighmaster.",1,"इंयू, इंयू, इंयू, इंयू इंयू इंयू इंयू। बेदर्द न्यूड आदमी ने थायमास्टर ख़रीदा है।",Hindi
"Now, are you his Mother or his Father? What? I've never seen one before! I never even got a chance to pretend I'm okay with it...",1,"अब, क्या आप उसकी माँ हैं या उसके पिता? क्या? मैंने कभी ऐसा नहीं देखा! मुझे तो यह भी मौका नहीं मिला कि मैं ठीक हूँ ऐसा दिखाएँ।",Hindi
"No, I'm sorry. Look I don't think that's what you wanna hear right now but I can't help it. I love marriage.",0,"नहीं मुझे माफ कर दो। देखिए, मुझे नहीं लगता कि आप अभी यही सुनना चाहते हैं, लेकिन मैं इसमें कुछ नहीं कर सकता। मुझे शादी पसंद है।",Hindi
It's so weird seeing Ross and Rachel with a baby. It's just so grown up.,0,रॉस और रेचेल को एक बच्चे के साथ देखना कितना अजीब है। यह अभी इतना बड़ा हो गया है।,Hindi
She doesn’t want her parents to know she’s drunk.,0,वह नहीं चाहती कि उसके माता-पिता को पता चले कि वह नशे में है।,Hindi
"I know you probably don’t want to go out with me, y’know because I make too many jokes and I’ve never been in a serious relationship and I guess I’m not technically a ""doctor…""",0,"मुझे पता है कि आप शायद मेरे साथ बाहर नहीं जाना चाहते हैं, क्योंकि मैं बहुत अधिक मजाक करता हूं और मैं कभी गंभीर रिश्ते में नहीं रहा हूं और मुझे लगता है कि मैं तकनीकी रूप से ""डॉक्टर ..."" नहीं हूं।",Hindi
"Look, I told ya, I’m not going to any clinic! I don’t have a problem, you’re the one with the problem! You should go to a ""Quit being a baby and leave me alone"" clinic!",0,"देखो, मैंने तुमसे कहा था, मैं किसी क्लिनिक नहीं जा रहा हूँ! मुझे कोई समस्या नहीं है, आप समस्या वाले हैं! आपको ""बच्चा बनना छोड़ो और मुझे अकेला छोड़ दो"" क्लिनिक जाना चाहिए!",Hindi
Chandler! Everyone--no one's eating my Tuscan finger food 'cause they're all filling up on Phoebe's snow cones!,0,"चांडलर! हर कोई--कोई भी मेरा टस्कन फिंगर फूड नहीं खा रहा है, क्योंकि वे सभी फीबे के बर्फीले शंकुओं को भर रहे हैं!",Hindi
"Yeah, remember that thing I told you that happened yesterday? Well it didn’t happen.",0,"हाँ, वह बात याद है जो मैंने तुमसे कही थी जो कल हुई थी? खैर ऐसा नहीं हुआ।",Hindi
"You know, Ross, some scientists are now saying that, that monkeys and babies are actually different.",0,"तुम्हें पता है, रॉस, कुछ वैज्ञानिक अब कह रहे हैं कि बंदर और बच्चे वास्तव में अलग हैं।",Hindi
"Uh, Pheebs, while we’re hovering around the subject. I just have to say dinosaurs, they-they don’t go, rrroof!",0,"उह, फीब्स, जबकि हम विषय के इर्द-गिर्द मँडरा रहे हैं। मुझे बस इतना कहना है कि डायनासोर, वे-वे नहीं जाते, छत!",Hindi
"Well, you said that you had customers lined up in the street, so I am here to entertain!",0,"ठीक है, आपने कहा था कि आपके ग्राहक गली में कतार में खड़े थे, इसलिए मैं यहाँ मनोरंजन करने के लिए हूँ!",Hindi
"Me too. Yeah, this place is great. I'm so happy for you guys. Although, you know, I hope you like fungus.",0,"मैं भी। हाँ, यहाँ बहुत अच्छा है। मैं तुम लोगों के लिए खुश हूँ। हालांकि, तुम्हें ख़मीर पसंद होगा उम्मीद है।",Hindi
Emily's cousin kicked me out!,0,एमिली के चचेरे भाई ने मुझे बाहर निकाल दिया!,Hindi
"Oh please, and you knew how much I liked her.",0,"ओह कृपया, और आप जानते थे कि मैं उसे कितना पसंद करता था।",Hindi
"It's an honor to meet you. I can't tell you how long I've been an admirer of your work, I mean, that Nobel prize,  whoooo! I mean, I have to tell you that, you're one of the reasons I got into the field.",0,"आपसे मिलकर गर्व हो रहा है। मैं आपको बता नहीं सकता कि मैंने आपके काम की कितनी देर से प्रशंसा की है, मेरा मतलब है, वह नोबेल पुरस्कार, वूः! मैंने आपको इस क्षेत्र में जाने का कारण माना है, इसे आपको बताना होगा।",Hindi
Oh great! We’re going out again Saturday. But I just found she’s also seeing some other guy.,0,"वाह, बहुत अच्छा! हम फिर से शनिवार को बाहर जा रहे हैं। लेकिन मैंने अभी यह जान लिया है कि वह किसी और लड़के के साथ भी मिल रही है। ",Hindi
"Well, that’s pretty much all I’m looking for from these people.",0,"ठीक है, यही वह सब है जिसे मैं इन लोगों से चाहता हूँ।",Hindi
"Yeah, y'know the ah, the girlfriend I told you about last night?  Well it turns out she ah, she wants to get back together with me. Oh, I found it!!",0,"हाँ, तुम जानते हो, वह आह, वह मेरी बात कर रही थी जिसके बारे में कल रात कहा था? यह बात साबित हुई है कि वह फिर से मेरे साथ मिलना चाहती है। ओह, मैंने यह पाया है!",Hindi
"Well, I think I broke it. But that’s all right, here’s the number you can call.",0,"ठीक है, मुझे लगता है मैंने उसे टूट दिया है। लेकिन यह ठीक है, यहाँ आपको कॉल कर सकते हैं नंबर है।",Hindi
"Nothing! You have apologized to her like a million times and she’s been nothing but terrible to you. And don’t forget you just threw her daughter a lovely, albeit slightly boring, shower, and she hasn’t even thanked you for it.",0,"कुछ नहीं! आपने उसे बहुत सारी बार माफी माँगी है और वह आपके प्रति केवल अत्यंत बुरी रही है। और याद रखें, आपने उसकी बेटी के लिए एक प्यारी, यद्यपि थोड़ी बोरिंग, शावर आयोजित की थी, और उसने आपको इसके लिए धन्यवाद तक नहीं दिया।",Hindi
"Listen umm, I’ve been thinking, it’s not fair for me to ask you to spend all of your money on our wedding. I mean, you work, you work really hard for that.",0,"सुनिए, उम्मीद है, मैं सोच रही थी, मेरे द्वारा आपसे अपनी शादी पर सभी पैसे खर्च करने का अनुरोध करना न्यायसंगत नहीं है। मेरा मतलब है, आप काम करते हैं, आप वास्तव में इसके लिए कठिन प्रयास करते हैं।",Hindi
"Come on, I don't really want to be doing this right now. I am carrying a very heavy couch.",0,"चलिए, मुझे वास्तव में अभी इसे करना नहीं है। मैं एक बहुत भारी सोफ़ा उठा रहा हूँ।",Hindi
"All right! Fine! But it’s just a lunch date, no more than an hour! And from now on I get my own dates, I don’t want you setting me up with anybody ever again!",0,"ठीक है! ठीक है! लेकिन यह सिर्फ एक लंच डेट है, एक घंटे से ज्यादा नहीं! और अब से मैं अपनी खुद की डेट्स ढूंढूंगी, मुझे चाहिए कि आप किसी के साथ मेरा मिलाना न करें!",Hindi
"Or, y’know, I used to beg for money. Of course it helps if you’ve got y’know a little of this  goin’ on. Wow! I still have it!",0,"या फिर, आपको पैसे मांगने के लिए विनती करनी पड़ती थी। बेशक, यह मदद करता है अगर आपके पास इसमें थोड़ा चमक हो। वाह! मेरे पास यह अभी भी है!",Hindi
"Okay, see that blind guy right there? I'm gonna bash his head in later.",0,"ठीक है, देखिए वहाँ वह अंधा आदमी है? मैं बाद में उसके सिर को मारूंगा।",Hindi
You’re the most beautiful bride I’ve ever seen.,0,आप सबसे सुंदर दुल्हन हो जो मैंने कभी देखी है।,Hindi
"No. All right, y’know what, she’s  gonna think that I’m handing you a credit card, but what I’m really gonna do is hand you a library card.",0,"नहीं। ठीक है, आपको पता है, वह सोचेगी कि मैं आपको एक क्रेडिट कार्ड दे रहा हूँ, लेकिन वास्तव में मैं आपको एक लाइब्रेरी कार्ड दे रहा हूँ।",Hindi
"Look, I just need a wire something to jimmy it. Oh hey, one of you guys give me the underwire from your bra!",0,"देखो, मुझे बस एक तार चाहिए, उसे खोलने के लिए। ओह, हे, तुम में से कोई लड़का मेरे ब्रा की नीचे की तार दे दो!",Hindi
"There's a pregnant woman in Ohio, and she picked us!",0,"ओहायो में एक गर्भवती महिला है, और उसने हमें चुना है!",Hindi
"Well, I have a girlfriend, I’m-I’m happy. So, I no longer feel the need to go out of my way to stop others from being happy.",0,"ठीक है, मेरी एक गर्लफ्रेंड है, मैं खुश हूँ। इसलिए, अब मुझे यह आवश्यकता महसूस नहीं होती कि मैं दूसरों को खुश रहने से रोकने के लिए अतिरिक्त प्रयास करूं।",Hindi
"Yeah, they do! Quit being a baby and leave me alone! There, you’ve just had your first class!",0,"हाँ, वे करते हैं! बच्चे की तरह बनना छोड़ो और मुझे अकेला छोड़ो! देखो, तुमने अभी अपना पहला सबक सिख लिया है! ",Hindi
Okay! Okay! Okay! You win! You win!! I can't have sex with ya!,0,ठीक है! ठीक है! ठीक है! तुम जीत गए! तुम जीत गए!! मैं तुमसे सेक्स नहीं कर सकता!,Hindi
"Oh, you want something serious. Y'know what you should do, you should get her one of those um, barium enemas. Those are dead serious.",0,"ओह, तुम कुछ गंभीर चाहते हो। आप जानते हैं कि आपको क्या करना चाहिए, आपको उसके लिए उम, बेरियम एनीमा में से एक लेना चाहिए। वे गंभीर हैं।",Hindi
"Oh it’s been going on way to long now. Y’know, I mean the first time he said it we were just passing each other in the hallway, so I didn’t say anything. And then the next time he said, ""Hey Toby, do you want a donut?"" And I-I wanted a donut. And now it’s five years later, the donut’s gone and I’m still Toby.",0,"ओह, यह बहुत लंबे समय तक चल रहा है। तुम जानते हो, मतलब पहली बार जब उसने यह कहा था हम केवल हॉलवे में एक-दूसरे से गुजर रहे थे, तो मैंने कुछ नहीं कहा। फिर अगली बार उसने कहा, ""हे टोबी, क्या तुम्हें डोनट चाहिए?"" और मुझे डोनट चाहिए थी। और अब पांच साल बाद, वह डोनट खत्म हो गया है और मैं अभी भी टोबी हूँ।",Hindi
"I know, and she's always bragging about all the famous people she's met.",0,"मुझे पता है, और वह हमेशा उन सभी प्रसिद्ध लोगों के बारे में डींग मारती है जिनसे वह मिली है।",Hindi
"I don’t want to drive all the way back by myself, I get so lonely.  Oh—ooh! How about you come with me?",0,"मुझे अकेले वापस जाने का मन नहीं है, मुझे बहुत अकेलापन महसूस होता है। ओह, तुम मेरे साथ चलो?",Hindi
"Well, we-we said we’d just do it that one time but, but now I think she may wanna start things up again.",0,"ठीक है, हमने तो कहा था कि हम बस एक बार करेंगे, लेकिन अब मुझे लगता है कि वह फिर से चीजें शुरू करना चाहेगी।",Hindi
"Yeah, I got this number from this guy at work and I hired a stripper to come dance for you. Am I going in the wife hall of fame or what?!",0,"हाँ, मैंने काम पर इस आदमी से यह नंबर प्राप्त किया था और मैंने एक स्ट्रिपर को रखा है जो तुम्हारे लिए नृत्य करेगी। क्या मैं पत्नी हॉल ऑफ फेम में जा रही हूँ या नहीं?! ",Hindi
Chandler was how old when he first touched a girl’s breast?,0,चांडलर कितने साल का था जब उसने पहली बार किसी लड़की के स्तन को छुआ था?,Hindi
"According to Chandler, what phenomenon scares the bejeezus out of him?",0,"चैंडलर के अनुसार, जो घटना उसे बहुत डराती है, वह है - ""माइकल फ्लेटली, लॉर्ड ऑफ द डांस"".",Hindi
"So, I still have boxes here. I still have boxes at Ross’s, and I have nowhere to live! Wow. I could so easily freak out right now.",0,"तो, मेरे पास यहां अभी भी डिब्बे हैं। मेरे पास रॉस के पास भी डिब्बे हैं, और मेरे पास रहने के लिए कोई जगह नहीं है! वाह। मैं अब आसानी से घबरा सकता हूँ।",Hindi
"But look Chandler, right now, no one has a lower opinion of you than I do. But I totally believe you can do this.",0,"लेकिन चांडलर, अभी तक, किसी की राय में तुम्हारे बारे में मेरी से कम नहीं है। लेकिन मैं पूरी तरह यकीन रखता हूँ कि तुम इसे कर सकते हो।",Hindi
"That was you?! We heard about you in Junior High! Did you really just shake your fist in the air and shout, ""I will be revenged?!""",0,"वही तो आप थे?! हमने तो आपके बारे में जूनियर हाई स्कूल में सुना था! क्या आपने सचमुच हवा में अपना मुड़ा हुआ मुँह बनाकर आक्रोशित होकर कहा, ""मैं बदला लूंगा?!""",Hindi
"Uh, they don't like it when you correct their grammar.",0,"उम्म, उन्हें अच्छा नहीं लगता जब आप उनकी व्याकरण को सही करते हैं।",Hindi
"Yes, here it comes! I’m stuck here all day, and then you come in and spend two seconds with us and then expect to go off gallivanting with your friends? Well I don’t think so mister!",0,"हाँ, यह रहा! मैं पूरे दिन यहीं फंसा हुआ हूँ, और फिर आप आते हैं और हमारे साथ दो सेकंड बिताकर फिर अपने दोस्तों के साथ घूमने की उम्मीद करते हैं? अच्छा नहीं लग रहा है मिस्टर!",Hindi
"I'd love to, but I gotta get back to talking to your parents. They're telling us all about how they adopted you.",0,"मुझे बहुत खुशी होगी, लेकिन मुझे अपने माता-पिता से बात करनी होगी। वे हमें बता रहे हैं कि वे आपको गोद लिया है।",Hindi
"All right, it'll be great! You just make her think you wanna have sex with her! It'll totally freak her out!",0,"ठीक है, यह शानदार होगा! बस आप उसे यह महसूस कराने के लिए बताएं कि आप उसके साथ सेक्स करना चाहते हैं! यह उसे पूरी तरह से अचंभित कर देगा!",Hindi
"Well, I added the 'exactly like me' part... But she said she's looking for someone, and someone is gonna be there tonight.",0,"ठीक है, मैंने 'बिल्कुल मेरी तरह' वाला हिस्सा जोड़ दिया है... लेकिन उसने कहा है कि वह किसी को ढूंढ़ रही है, और कोई वहाँ रात को होगा।",Hindi
Wow! I have never had such a healthy break-up! She was such a grown-up about it! She didn’t seem too immature for me! Did I just make a huge mistake?,0,वाह! मैंने कभी इतना स्वस्थ तरीके से ब्रेकअप नहीं किया! वह इस बारे में बहुत वयस्क थी! वह मेरे लिए बहुत अपरिपक्व नहीं लगी! क्या मैंने एक बड़ी गलती कर दी है?,Hindi
"Ah yes, but he’s very protective of me so you’d better watch yourself.",0,"हाँ, लेकिन वह मुझे बहुत सुरक्षित रखते हैं, तो आप खुद को सावधान रखें।",Hindi
"Well let there—what if a man comes along and puts a gun to your head and says, ""You ride this bike or I’ll sh…I’ll shoot you.""",0,"ठीक है, यदि एक आदमी आपके सिर पर बंदूक रखकर कहे, ""तुम इस बाइक पर सवारी करो वरना मैं... मैं तुम्हें गोली मार दूंगा।""",Hindi
"Um, yeah. Look, I mean, I’m not saying she’s like evil or anything. She just, you know, she’s always breaking my stuff. When I was eight, and I wouldn’t let her have my Judy Jetson thermos, so she threw it under the bus. And then, oh, and then there was Randy Brown, who was like... Have you ever had a boyfriend who was like your best friend?",0,"हाँ, देखो, मेरा मतलब यह नहीं है कि वह शैतान है या कुछ ऐसा है। वह, आप जानते हैं, मेरी वस्तुओं को हमेशा तोड़ देती है। जब मैं आठ साल का था और मैंने उसे मेरे Judy Jetson थर्मोस नहीं दिया, तो उसने उसे बस के नीचे फेंक दिया। और फिर, ओह, फिर रैंडी ब्राउन था, जो ऐसा था... क्या आपके पास कभी ऐसा कोई प्रेमी रहा है जो आपका सबसे अच्छा दोस्त था?",Hindi
"Sure, Monica would have to give her up.",0,"ठीक है, मोनिका को उसे छोड़ना होगा।",Hindi
"Oh! Right. Umm, maybe that’s because I didn’t send him an invitation.",0,"हाँ, ठीक है। शायद इसलिए क्योंकि मैंने उसे एक निमंत्रण नहीं भेजा।",Hindi
"So, you heard it, you repeated it, so that must mean you wrote it.",0,"तो, आपने सुना, आपने दोहराया, इसका मतलब यह है कि आपने इसे लिखा है।",Hindi
"I’m Catwoman, who wants to borrow the dress when you’re too big for it.",0,"मैं कैटवुमैन हूँ, जब तुम इसे पहनने के लिए बड़े हो जाओगे तब कौन इसे उधार लेना चाहेगा।",Hindi
"Yeah, yeah, it’ll be great! You can, you can lay on the beach and I can cry over my failed marriage. See-see how I make jokes?",0,"हां, हां, यह बहुत अच्छा होगा! आप समुद्र तट पर लेट सकते हैं और मैं अपनी असफल शादी पर रो सकती हूं। देखो, मैं कैसे मज़ाक बनाती हूं?",Hindi
"Ooh! No, no, no, no, he's not like a kook, no. He's just like this, this very passionate, incredibly romantic guy, that got like a tinsy bit carried away, you know. And we just get along really well, and he's so cute.",0,"ओह! नहीं, नहीं, नहीं, नहीं, वह कोई पागल नहीं है, नहीं। वह बस एक बहुत प्रफुल्लित, अत्यंत रोमांटिक आदमी है, जो थोड़ा सा उत्तेजना में ले जाया गया है, आप जानते हैं। और हम बहुत अच्छी तरह से समझते हैं, और वह इतना प्यारा है।",Hindi
"I know it sounds crazy, but Chandler this is  the greatest sandwich in the world!",0,"मुझे पता है यह पागल सुनाई दे रहा है, लेकिन चैंडलर, यह दुनिया का सबसे महान सैंडविच है!",Hindi
"Is that a hint? Because we love you Doctor Connelly but we don't think we'd want you to be our child!  Wow, talking about an inhospitable environment!",0,"क्या यह इशारा है? क्योंकि हम आपको प्यार करते हैं, डॉक्टर कॉनेली, लेकिन हमें लगता है कि हम आपको अपने बच्चे नहीं चाहेंगे! वाह, यह एक अनुकूल वातावरण के बारे में बात कर रहे हैं!",Hindi
"Y'know what, I can stay, I’m gonna stay. ‘Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around.",0,"तुम्हें पता है, मैं यहां रह सकता हूँ, मैं रहूँगा। क्योंकि जब मैं आखेट लिफ्ट से छलांग लगाने के लिए डर गया था, तब मैं बस घूमता रह गया था।",Hindi
yeah well  yeah you know Emma's birth certificate might say Geller but her eyes say Mookurgee.,0,"हाँ, ठीक है, तुम जानते हो, एमा का जन्म प्रमाणपत्र गेलर लिखा हो सकता है, लेकिन उसकी आंखें मूकुरगी बोलती हैं।",Hindi
"I’m just saying, if we put just a little bit of makeup on you.",0,"मैं बस यह कह रहा हूँ, अगर हम आप पर थोड़ा-सा मेकअप लगा दें।",Hindi
